Name,Type,ID,Map,MapID,Xcoord,Ycoord,Spec1ID,Spec2ID,Region,Comment,Logic
Gloomy Cavern: Lockpick,Pickup,54,A Gloomy Cavern,24,50,44,2,3,A Gloomy Cavern,,
Happy Stick: Hidden,Pickup,55,Happy Stick Woods,25,61,2,5,6,Happy Stick Woods,,
Happy Stick: Reward,Pickup,56,Happy Stick Woods,25,35,34,0,1,Happy Stick Woods,,
Wolf Den: Top Left,Pickup,57,The Wolf Den,26,2,5,1,2,The Wolf Den,,
Wolf Den: Pumpkin Door,Pickup,58,The Wolf Den,26,6,14,6,7,The Wolf Den,,"""Pumpkin Key"""
Wolf Den: Vine,Pickup,59,The Wolf Den,26,40,88,3,4,The Wolf Den,,"""Fertilizer"""
Upper Cavern: Three Gold Skeletons,Pickup,60,Upper Creepy Caverns,28,88,38,3,4,Upper Creepy Caverns,,
Under The Ravine: Left Vine,Pickup,61,Under the Ravine,29,35,39,1,2,Under The Ravine,,"""Fertilizer"""
Under The Ravine: Right Vine,Pickup,62,Under the Ravine,29,103,22,3,4,Under The Ravine,,"""Fertilizer"""
Creepy Caverns M: Pharaoh Bat Door,Pickup,63,Creepy Caverns,30,117,76,3,4,Creepy Caverns Middle,,"""Bat Key"""
Creepy Caverns E: Top Pharaohs,Pickup,64,Creepy Caverns,30,135,6,10,11,Creepy Caverns Right,,
Creepy Caverns M: Gargoyles,Pickup,65,Creepy Caverns,30,84,75,5,6,Creepy Caverns Middle,,
Castle Vampy: Top Room,Pickup,66,Castle Vampy,31,63,12,11,12,Castle Vampy,,
Castle Vampy: Maze,Pickup,67,Castle Vampy,31,27,21,13,14,Castle Vampy,,
Castle Vampy: Gauntlet,Pickup,68,Castle Vampy,31,105,16,15,16,Castle Vampy,,
Castle Vampy: Bat Closet,Pickup,69,Castle Vampy,31,9,92,22,23,Castle Vampy,,
Castle Vampy II: Candle Room,Pickup,70,Castle Vampy II,32,22,37,6,7,Castle Vampy II Main,,
Castle Vampy II: Bloodsucker Room,Pickup,71,Castle Vampy II,32,89,22,8,9,Castle Vampy II Main,,
Castle Vampy II: Vampire Lord,Pickup,72,Castle Vampy II,32,89,89,2,3,Castle Vampy II Main,,
Castle Vampy II: Bat Room,Pickup,73,Castle Vampy II,32,52,106,4,5,Castle Vampy II Main,,
Cabin in the Woods: Gold Skull,Pickup,74,Cabin In The Woods,33,18,6,1,2,Cabin In The Woods,,
Castle Vampy III: Center,Pickup,75,Castle Vampy III,34,63,64,13,14,Castle Vampy III Main,,
Castle Vampy III: Behind the Pews,Pickup,76,Castle Vampy III,34,94,33,17,18,Castle Vampy III Main,,
Castle Vampy III: AMBUSH!,Pickup,77,Castle Vampy III,34,101,110,5,6,Castle Vampy III Main,,
Castle Vampy III: Halloween,Pickup,78,Castle Vampy III,34,103,19,10,9,Castle Vampy III Main,,
Castle Vampy III: Bat room,Pickup,79,Castle Vampy III,34,18,11,23,24,Castle Vampy III Main,,
Castle Vampy IV: Right Path,Pickup,80,Castle Vampy IV,35,94,117,8,9,Castle Vampy IV Main,,
Castle Vampy IV: Left Path,Pickup,81,Castle Vampy IV,35,34,117,6,7,Castle Vampy IV Main,,
Castle Vampy IV: Ballroom Right,Pickup,82,Castle Vampy IV,35,104,68,3,4,Castle Vampy IV Main,,"""Ghost Potion"" and ""Silver Sling"""
Castle Vampy IV: Right Secret Wall,Pickup,83,Castle Vampy IV,35,111,102,10,11,Castle Vampy IV Main,,
Castle Vampy IV: Ballroom Left,Pickup,84,Castle Vampy IV,35,23,68,1,2,Castle Vampy IV Main,,"""Ghost Potion"" and ""Silver Sling"""
Roof NW: Gutsy the Elder,Pickup,85,Castle Vampy Roof,37,13,18,3,4,Castle Vampy Roof NW,,have_special_weapon_damage
Roof NE: Stoney the Elder,Pickup,86,Castle Vampy Roof,38,13,18,3,4,Castle Vampy Roof NE,,
Roof SW: Drippy the Elder,Pickup,87,Castle Vampy Roof,39,13,18,3,4,Castle Vampy Roof SW,,
Roof SE: Toasty the Elder,Pickup,88,Castle Vampy Roof,40,13,18,3,4,Castle Vampy Roof SE,,
Bonkula,Pickup,89,Heart of Terror,42,16,28,3,4,The Heart Of Terror,,
Hidey-Hole: Bat Door,Pickup,90,A Hidey-Hole,43,5,22,1,2,A Hidey-Hole,,"""Bat Key"""
Hidey-Hole: Pebbles,Pickup,91,A Hidey-Hole,43,18,22,4,5,A Hidey-Hole,,
Swampdog Lair: Entrance,Pickup,92,Swampdog Lair,45,55,49,0,1,Swampdog Lair,,"""Boots"""
Swampdog Lair: End,Pickup,93,Swampdog Lair,45,55,36,5,6,Swampdog Lair,,"""Boots"" and have_light_source and ""Fertilizer"""
Q: Save Halloween Hill,Quest,94,Save Halloween Hill,0,0,0,0,0,The Evilizer,,
Q: Tree Trimming,Quest,95,Tree Trimming,1,0,0,0,0,A Cabin Trees,,
Q: Scaredy Cat,Quest,96,Scaredy Cat,2,0,0,0,0,Halloween Hill,,"""Cat"""
Q: Sticky Shoes,Quest,97,Sticky Shoes,3,0,0,0,0,Halloween Hill,,
Q: Mushroom Hunt,Quest,98,Witch Mushrooms,5,0,0,0,0,The Witch's Cabin Front,,"""Mushroom""10"
Q: Zombie Stomp,Quest,99,Zombie Stomp,8,0,0,0,0,Zombiton,,can_cleanse_crypts
Q: Smashing Pumpkins,Quest,100,Smashing Pumpkins,9,0,0,0,0,Halloween Hill,,can_cleanse_crypts
Q: Silver Bullet,Quest,101,Silver Bullet,14,0,0,0,0,Halloween Hill,,
Q: Hairy Larry,Quest,102,Hairy Larry,15,0,0,0,0,A Cabin Larry,,"have_light_source and ""Silver Sling"" and ""Boots"""
Q: Ghostbusting,Quest,103,Ghostbusting,16,0,0,0,0,The Witch's Cabin Front,,"""Big Gem"" and ""Doom Daisy"" and ""Mushroom""10"
Q: The Rescue,Quest,104,The Rescue,19,0,0,0,0,A Gloomy Cavern,,
Q: The Collection,Quest,105,The Collection,20,0,0,0,0,A Cabin Collector,,"""Silver Sling"" and ""Ghost Potion"" and can_enter_vampy"
